[2023-08-21 18:59:10.307] Log file generated
[2023-08-21 18:59:17.662] send 4159 to server
[2023-08-21 18:59:17.662] send 4158 to server
[2023-08-21 18:59:17.763] send 4159 to server
[2023-08-21 18:59:17.763] send 4161 to server
[2023-08-21 18:59:17.764] send 4163 to server
[2023-08-21 18:59:17.764] send 4161 to server
[2023-08-21 18:59:17.764] send 4160 to server
[2023-08-21 18:59:17.865] send 4159 to server
[2023-08-21 18:59:17.865] send 4160 to server
[2023-08-21 18:59:17.866] send 4158 to server
[2023-08-21 18:59:17.866] send 4159 to server
[2023-08-21 18:59:17.967] send 4161 to server
[2023-08-21 18:59:17.967] send 4161 to server
[2023-08-21 18:59:17.968] send 4159 to server
[2023-08-21 18:59:17.968] send 4161 to server
[2023-08-21 18:59:17.968] send 4160 to server
[2023-08-21 18:59:18.069] send 4160 to server
[2023-08-21 18:59:18.069] send 4158 to server
[2023-08-21 18:59:18.070] send 4160 to server
[2023-08-21 18:59:18.070] send 4161 to server
[2023-08-21 18:59:18.070] send 4162 to server
[2023-08-21 18:59:18.070] send 4160 to server
[2023-08-21 18:59:18.171] send 4162 to server
[2023-08-21 18:59:18.171] send 4161 to server
[2023-08-21 18:59:18.172] send 4158 to server
[2023-08-21 18:59:18.172] send 4159 to server
[2023-08-21 18:59:18.172] send 4158 to server
[2023-08-21 18:59:18.172] send 4159 to server
[2023-08-21 18:59:18.273] send 4156 to server
[2023-08-21 18:59:18.274] send 4156 to server
[2023-08-21 18:59:18.274] send 4159 to server
[2023-08-21 18:59:18.274] send 4159 to server
[2023-08-21 18:59:18.274] send 4160 to server
[2023-08-21 18:59:18.274] send 4160 to server
[2023-08-21 18:59:18.375] send 4162 to server
[2023-08-21 18:59:18.376] send 4159 to server
[2023-08-21 18:59:18.376] send 4159 to server
[2023-08-21 18:59:18.376] send 4161 to server
[2023-08-21 18:59:18.377] send 4160 to server
[2023-08-21 18:59:18.377] send 4160 to server
[2023-08-21 18:59:18.377] send 4160 to server
[2023-08-21 18:59:18.478] send 4160 to server
[2023-08-21 18:59:18.478] send 4159 to server
[2023-08-21 18:59:18.479] send 4160 to server
[2023-08-21 18:59:18.479] send 4161 to server
[2023-08-21 18:59:18.479] send 4160 to server
[2023-08-21 18:59:18.580] send 4159 to server
[2023-08-21 18:59:18.580] send 4161 to server
[2023-08-21 18:59:18.581] send 4159 to server
[2023-08-21 18:59:18.581] send 4158 to server
[2023-08-21 18:59:18.581] send 4159 to server
